question_id,question_text,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,notes,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_rank
1,What architectural components are removed in the Transformer model?,definition,1,1,56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83,18,False,,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198,,False,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198,,False,
2,What aspect of recurrent neural networks prevents parallelization during training?,mechanism,6,1,630|536|61|56|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123,,False,,74|408|56|410|152|82|76|83|230|247|302|539|607|70|231|239|197|192|36|283,,False,56|74|408|410|152|82|76|83|230|247|302|539|607|70|231|239|197|192|36|283,,False,
3,What capability do attention mechanisms provide for modeling dependencies in sequences?,mechanism,7,1,630|130|56|536|61|17|54|276|232|581|15|627|62|495|109|386|49|565|31|24,,False,,386|86|24|9|233|176|200|105|89|373|171|5|56|257|6|362|540|172|166|268,,False,56|386|24|86|9|233|176|200|105|89|373|171|5|257|6|362|540|172|166|268,,False,
4,What mechanism does the Transformer rely on instead of recurrence?,definition,8,1,56|630|130|276|232|178|627|61|565|609|491|618|17|580|536|54|291|561|20|83,,False,,171|1|542|510|128|390|387|302|190|111|191|207|104|539|253|348|109|105|192|210,,False,171|1|542|510|128|390|387|302|190|111|191|207|104|539|253|348|109|105|192|210,,False,
5,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,comparison,9,1,41|8|591|586|573|538|9|572|31|529|26|588|38|517|4|53|300|6|612|562,7,False,,9|245|204|52|357|155|200|29|240|226|237|496|205|34|16|310|242|246|87|278,1,True,9|245|204|52|357|155|200|29|240|226|237|496|205|34|16|310|242|246|87|278,1,True,6
6,How is self-attention defined?,definition,10,1,595|375|628|627|131|171|568|241|178|220|395|630|565|616|228|195|636|274|545|299,,False,,10|200|206|260|29|105|259|32|386|24|164|173|86|174|205|350|201|168|171|310,1,True,171|10|200|206|260|29|105|259|32|386|24|164|173|86|174|205|350|201|168|310,2,True,
7,What distinguishes the Transformer from earlier transduction models?,definition,11,1,56|630|276|232|130|536|61|491|17|178|609|627|54|1|83|565|229|618|591|571,,False,,11|248|111|302|539|228|150|348|331|496|155|379|386|1|170|169|214|253|127|182,1,True,1|11|248|111|302|539|228|150|348|331|496|155|379|386|170|169|214|253|127|182,2,True,
8,What overall encoder–decoder architecture does the Transformer use?,definition,13,1,605|431|384|491|523|54|522|56|124|354|130|171|509|627|432|393|397|67|84|617,,False,,1|154|183|161|90|173|226|24|111|120|170|187|302|231|94|150|386|119|181|169,,False,1|154|183|161|90|173|226|24|111|120|170|187|302|231|94|150|386|119|181|169,,False,
9,What two sub-layers make up each encoder layer?,structure,14,1,627|576|565|630|491|178|628|274|580|56|616|352|55|609|59|132|276|232|182|241,,False,,14|13|173|15|26|23|174|41|152|179|240|16|114|333|331|302|386|92|204|203,1,True,14|13|173|15|26|23|174|41|152|179|240|16|114|333|331|302|386|92|204|203,1,True,
10,What additional sub-layer is added to each decoder layer?,structure,15,1,491|565|56|627|630|130|232|178|276|59|1|11|17|274|182|15|555|609|48|61,16,False,,14|15|173|16|114|174|13|41|201|150|26|92|214|34|103|27|192|128|240|213,2,True,15|14|173|16|114|174|13|41|201|150|26|92|214|34|103|27|192|128|240|213,1,True,15
11,Why is masking applied in the decoder self-attention layer?,mechanism,16,1,56|565|627|491|630|232|130|276|178|1|61|536|59|11|182|488|257|17|291|83,,False,,16|174|15|173|214|24|386|34|200|114|245|10|105|14|213|29|86|32|205|90,1,True,16|174|15|173|214|24|386|34|200|114|245|10|105|14|213|29|86|32|205|90,1,True,
12,What operation is applied to scaled dot products before weighting the values?,formula,18,1,630|56|61|536|276|130|17|54|1|232|62|565|291|49|581|31|83|627|182|84,,False,,17|18|245|19|177|176|391|231|302|182|105|21|270|390|175|16|392|201|244|114,2,True,17|182|18|245|19|177|176|391|231|302|105|21|270|390|175|16|392|201|244|114,3,True,
13,What advantage does multi-head attention provide?,mechanism,21,1,491|576|627|565|630|56|580|130|628|232|274|178|276|128|17|55|182|1|241|609,,False,,10|17|174|175|4|22|173|15|51|18|206|395|210|105|386|396|631|542|390|302,,False,17|10|174|175|4|22|173|15|51|18|206|395|210|105|386|396|631|542|390|302,,False,
14,How are illegal attention connections prevented in the decoder?,mechanism,25,1,56|627|565|130|630|232|178|276|59|1|83|536|491|291|61|182|11|17|15|62,,False,,200|15|386|184|16|206|24|174|182|90|108|380|1|87|162|183|111|581|261|299,,False,1|182|15|200|386|184|16|206|24|174|90|108|380|87|162|183|111|581|261|299,,False,
15,What is the functional form of the position-wise feed-forward network?,formula,26,1,56|630|276|232|130|536|609|178|17|62|229|61|491|83|1|226|291|20|31|49,,False,,174|213|214|204|205|244|206|192|13|302|66|105|292|286|148|104|14|243|282|245,,False,174|213|214|204|205|244|206|192|13|302|66|105|292|286|148|104|14|243|282|245,,False,
16,What mathematical functions are used to construct positional encodings?,formula,30,1,56|630|276|130|232|609|61|536|17|178|62|488|49|83|1|182|291|229|20|84,,False,,212|199|244|207|211|186|192|253|198|204|301|302|220|200|88|394|157|280|393|127,,False,212|199|244|207|211|186|192|253|198|204|301|302|220|200|88|394|157|280|393|127,,False,
